model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
GRU,1,128,32,30,0.0,adam,1,0.3866
GRU,1,128,32,30,0.0,adam,2,0.3765
GRU,1,128,32,30,0.0,adam,3,0.3699
GRU,1,128,32,30,0.0,rmsprop,1,0.3871
GRU,1,128,32,30,0.0,rmsprop,2,0.4042
GRU,1,128,32,30,0.0,rmsprop,3,0.3775
GRU,1,128,32,30,0.25,adam,1,0.3781
GRU,1,128,32,30,0.25,adam,2,0.3648
GRU,1,128,32,30,0.25,adam,3,0.387
GRU,1,128,32,30,0.25,rmsprop,1,0.3801
GRU,1,128,32,30,0.25,rmsprop,2,0.3805
GRU,1,128,32,30,0.25,rmsprop,3,0.375
GRU,1,128,32,30,0.5,adam,1,0.3726
GRU,1,128,32,30,0.5,adam,2,0.3793
GRU,1,128,32,30,0.5,adam,3,0.3692
GRU,1,128,32,30,0.5,rmsprop,1,0.3761
GRU,1,128,32,30,0.5,rmsprop,2,0.3937
GRU,1,128,32,30,0.5,rmsprop,3,0.3813
GRU,1,128,32,50,0.0,adam,1,0.3789
GRU,1,128,32,50,0.0,adam,2,0.3814
GRU,1,128,32,50,0.0,adam,3,0.3692
GRU,1,128,32,50,0.0,rmsprop,1,0.3748
GRU,1,128,32,50,0.0,rmsprop,2,0.3736
GRU,1,128,32,50,0.0,rmsprop,3,0.3865
GRU,1,128,32,50,0.25,adam,1,0.3769
GRU,1,128,32,50,0.25,adam,2,0.3709
GRU,1,128,32,50,0.25,adam,3,0.3765
GRU,1,128,32,50,0.25,rmsprop,1,0.3762
GRU,1,128,32,50,0.25,rmsprop,2,0.3889
GRU,1,128,32,50,0.25,rmsprop,3,0.3798
GRU,1,128,32,50,0.5,adam,1,0.3762
GRU,1,128,32,50,0.5,adam,2,0.3766
GRU,1,128,32,50,0.5,adam,3,0.3725
GRU,1,128,32,50,0.5,rmsprop,1,0.382
GRU,1,128,32,50,0.5,rmsprop,2,0.3871
GRU,1,128,32,50,0.5,rmsprop,3,0.3753
GRU,1,128,64,10,0.0,adam,1,0.3716
GRU,1,128,64,10,0.0,adam,2,0.3772
GRU,1,128,64,10,0.0,adam,3,0.3675
GRU,1,128,64,10,0.0,rmsprop,1,0.3768
GRU,1,128,64,10,0.0,rmsprop,2,0.3747
GRU,1,128,64,10,0.0,rmsprop,3,0.3995
GRU,1,128,64,10,0.25,adam,1,0.3826
GRU,1,128,64,10,0.25,adam,2,0.3816
GRU,1,128,64,10,0.25,adam,3,0.3677
GRU,1,128,64,10,0.25,rmsprop,1,0.3752
GRU,1,128,64,10,0.25,rmsprop,2,0.3705
GRU,1,128,64,10,0.25,rmsprop,3,0.3797
GRU,1,128,64,10,0.5,adam,1,0.3748
GRU,1,128,64,10,0.5,adam,2,0.3797
GRU,1,128,64,10,0.5,adam,3,0.3692
GRU,1,128,64,10,0.5,rmsprop,1,0.3836
GRU,1,128,64,10,0.5,rmsprop,2,0.3943
GRU,1,128,64,10,0.5,rmsprop,3,0.3777
GRU,1,128,64,30,0.0,adam,1,0.3744
GRU,1,128,64,30,0.0,adam,2,0.3748
GRU,1,128,64,30,0.0,adam,3,0.372
GRU,1,128,64,30,0.0,rmsprop,1,0.3785
GRU,1,128,64,30,0.0,rmsprop,2,0.3778
GRU,1,128,64,30,0.0,rmsprop,3,0.3812
GRU,1,128,64,30,0.25,adam,1,0.379
GRU,1,128,64,30,0.25,adam,2,0.3767
GRU,1,128,64,30,0.25,adam,3,0.382
GRU,1,128,64,30,0.25,rmsprop,1,0.3699
GRU,1,128,64,30,0.25,rmsprop,2,0.3963
GRU,1,128,64,30,0.25,rmsprop,3,0.3697
GRU,1,128,64,30,0.5,adam,1,0.3758
GRU,1,128,64,30,0.5,adam,2,0.3746
GRU,1,128,64,30,0.5,adam,3,0.3766
GRU,1,128,64,30,0.5,rmsprop,1,0.3821
GRU,1,128,64,30,0.5,rmsprop,2,0.3767
GRU,1,128,64,30,0.5,rmsprop,3,0.3831
GRU,1,128,64,50,0.0,adam,1,0.3741
GRU,1,128,64,50,0.0,adam,2,0.3665
GRU,1,128,64,50,0.0,adam,3,0.3754
GRU,1,128,64,50,0.0,rmsprop,1,0.3818
GRU,1,128,64,50,0.0,rmsprop,2,0.3776
GRU,1,128,64,50,0.0,rmsprop,3,0.385
GRU,1,128,64,50,0.25,adam,1,0.375
GRU,1,128,64,50,0.25,adam,2,0.3809
GRU,1,128,64,50,0.25,adam,3,0.3736
GRU,1,128,64,50,0.25,rmsprop,1,0.383
GRU,1,128,64,50,0.25,rmsprop,2,0.367
GRU,1,128,64,50,0.25,rmsprop,3,0.3775
GRU,1,128,64,50,0.5,adam,1,0.3746
GRU,1,128,64,50,0.5,adam,2,0.3746
GRU,1,128,64,50,0.5,adam,3,0.3767
