model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,1,64,64,30,0.5,rmsprop,2,0.3785268068313598
LSTM,1,64,64,30,0.5,rmsprop,3,0.390188455581665
LSTM,1,64,64,50,0.0,adam,1,0.3749067187309265
LSTM,1,64,64,50,0.0,adam,2,0.3716265559196472
LSTM,1,64,64,50,0.0,adam,3,0.379201740026474
LSTM,1,64,64,50,0.0,rmsprop,1,0.377981424331665
LSTM,1,64,64,50,0.0,rmsprop,2,0.3715191185474396
LSTM,1,64,64,50,0.0,rmsprop,3,0.3825180828571319
LSTM,1,64,64,50,0.25,adam,1,0.3714829981327057
LSTM,1,64,64,50,0.25,adam,2,0.3657088279724121
LSTM,1,64,64,50,0.25,adam,3,0.3700962960720062
LSTM,1,64,64,50,0.25,rmsprop,1,0.376807302236557
LSTM,1,64,64,50,0.25,rmsprop,2,0.3731891214847564
LSTM,1,64,64,50,0.25,rmsprop,3,0.3728466928005218
LSTM,1,64,64,50,0.5,adam,1,0.3767655491828918
LSTM,1,64,64,50,0.5,adam,2,0.3720895051956177
LSTM,1,64,64,50,0.5,adam,3,0.3743867874145508
LSTM,1,64,64,50,0.5,rmsprop,1,0.3789993524551391
LSTM,1,64,64,50,0.5,rmsprop,2,0.3783182501792907
LSTM,1,64,64,50,0.5,rmsprop,3,0.384521335363388
LSTM,1,128,32,10,0.0,adam,1,0.376614898443222
LSTM,1,128,32,10,0.0,adam,2,0.3784026503562927
LSTM,1,128,32,10,0.0,adam,3,0.3758867383003235
LSTM,1,128,32,10,0.0,rmsprop,1,0.372687429189682
LSTM,1,128,32,10,0.0,rmsprop,2,0.375106930732727
LSTM,1,128,32,10,0.0,rmsprop,3,0.3822025954723358
LSTM,1,128,32,10,0.25,adam,1,0.3869952261447906
LSTM,1,128,32,10,0.25,adam,2,0.365867406129837
LSTM,1,128,32,10,0.25,adam,3,0.3682438135147095
LSTM,1,128,32,10,0.25,rmsprop,1,0.3787593245506286
LSTM,1,128,32,10,0.25,rmsprop,2,0.3725921213626861
LSTM,1,128,32,10,0.25,rmsprop,3,0.375610888004303
LSTM,1,128,32,10,0.5,adam,1,0.3784548938274383
LSTM,1,128,32,10,0.5,adam,2,0.3847884833812713
LSTM,1,128,32,10,0.5,adam,3,0.375426322221756
LSTM,1,128,32,10,0.5,rmsprop,1,0.3798310458660126
LSTM,1,128,32,10,0.5,rmsprop,2,0.3823490738868713
LSTM,1,128,32,10,0.5,rmsprop,3,0.3747838735580444
LSTM,1,128,32,30,0.0,adam,1,0.3720873296260834
LSTM,1,128,32,30,0.0,adam,2,0.3663713037967682
LSTM,1,128,32,30,0.0,adam,3,0.376258909702301
LSTM,1,128,32,30,0.0,rmsprop,1,0.3813689053058624
LSTM,1,128,32,30,0.0,rmsprop,2,0.3736077845096588
LSTM,1,128,32,30,0.0,rmsprop,3,0.3716117441654205
LSTM,1,128,32,30,0.25,adam,1,0.3758360147476196
LSTM,1,128,32,30,0.25,adam,2,0.3699366152286529
LSTM,1,128,32,30,0.25,adam,3,0.3693765699863434
LSTM,1,128,32,30,0.25,rmsprop,1,0.3791566789150238
LSTM,1,128,32,30,0.25,rmsprop,2,0.3734270632266998
LSTM,1,128,32,30,0.25,rmsprop,3,0.3838547766208648
LSTM,1,128,32,30,0.5,adam,1,0.374610036611557
LSTM,1,128,32,30,0.5,adam,2,0.376473605632782
LSTM,1,128,32,30,0.5,adam,3,0.3695127964019775
LSTM,1,128,32,30,0.5,rmsprop,1,0.3797373175621032
LSTM,1,128,32,30,0.5,rmsprop,2,0.375950425863266
LSTM,1,128,32,30,0.5,rmsprop,3,0.3751031160354614
LSTM,1,128,32,50,0.0,adam,1,0.3723591268062591
LSTM,1,128,32,50,0.0,adam,2,0.3735436201095581
LSTM,1,128,32,50,0.0,adam,3,0.3735904693603515
LSTM,1,128,32,50,0.0,rmsprop,1,0.3840819001197815
LSTM,1,128,32,50,0.0,rmsprop,2,0.3746418058872223
LSTM,1,128,32,50,0.0,rmsprop,3,0.376179039478302
LSTM,1,128,32,50,0.25,adam,1,0.3703748881816864
LSTM,1,128,32,50,0.25,adam,2,0.3701877295970917
LSTM,1,128,32,50,0.25,adam,3,0.3723881542682647
LSTM,1,128,32,50,0.25,rmsprop,1,0.3834990561008453
LSTM,1,128,32,50,0.25,rmsprop,2,0.379465788602829
LSTM,1,128,32,50,0.25,rmsprop,3,0.377765029668808
LSTM,1,128,32,50,0.5,adam,1,0.3732544779777527
LSTM,1,128,32,50,0.5,adam,2,0.3761499226093292
LSTM,1,128,32,50,0.5,adam,3,0.3763128221035003
LSTM,1,128,32,50,0.5,rmsprop,1,0.3833736777305603
LSTM,1,128,32,50,0.5,rmsprop,2,0.3752218782901764
LSTM,1,128,32,50,0.5,rmsprop,3,0.3800634443759918
LSTM,1,128,64,10,0.0,adam,1,0.3895125985145569
LSTM,1,128,64,10,0.0,adam,2,0.3631295561790466
LSTM,1,128,64,10,0.0,adam,3,0.3726492822170257
LSTM,1,128,64,10,0.0,rmsprop,1,0.3804565072059631
LSTM,1,128,64,10,0.0,rmsprop,2,0.3762369453907013
LSTM,1,128,64,10,0.0,rmsprop,3,0.3762710988521576
LSTM,1,128,64,10,0.25,adam,1,0.3562157750129699
LSTM,1,128,64,10,0.25,adam,2,0.3710895180702209
LSTM,1,128,64,10,0.25,adam,3,0.3757631182670593
LSTM,1,128,64,10,0.25,rmsprop,1,0.3761598765850067
LSTM,1,128,64,10,0.25,rmsprop,2,0.3823865354061126
LSTM,1,128,64,10,0.25,rmsprop,3,0.3779034316539764
LSTM,1,128,64,10,0.5,adam,1,0.378689706325531
LSTM,1,128,64,10,0.5,adam,2,0.3902958035469055
LSTM,1,128,64,10,0.5,adam,3,0.3681855201721191
LSTM,1,128,64,10,0.5,rmsprop,1,0.3812179267406463
LSTM,1,128,64,10,0.5,rmsprop,2,0.3670923709869385
LSTM,1,128,64,10,0.5,rmsprop,3,0.3602719008922577
LSTM,1,128,64,30,0.0,adam,1,0.371882289648056
LSTM,1,128,64,30,0.0,adam,2,0.3780034184455871
LSTM,1,128,64,30,0.0,adam,3,0.3825710713863373
LSTM,1,128,64,30,0.0,rmsprop,1,0.3707263171672821
LSTM,1,128,64,30,0.0,rmsprop,2,0.3863129019737243
