05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,1,2,2,0,0,1,1,3,3,1,1,4,1,1,1,1,0,0,승차,00134,7021013700,KT북대구지사건너,2019-01-01,23,대구광역시 북구 고성동
0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,하차,00134,7021013700,KT북대구지사건너,2019-01-01,3,대구광역시 북구 고성동
1,0,1,2,4,2,2,3,2,7,3,4,4,3,1,2,2,3,0,승차,00131,7021013800,KT북대구지사앞,2019-01-01,46,대구광역시 북구 고성동
0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,하차,00131,7021013800,KT북대구지사앞,2019-01-01,7,대구광역시 북구 고성동
0,1,0,3,1,1,4,0,3,5,1,5,4,1,1,1,6,3,0,승차,00029,7061028200,KT상동지사건너,2019-01-01,40,대구광역시 수성구 두산동
0,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,2,1,0,승차,00028,7061028300,KT상동지사앞,2019-01-01,10,대구광역시 수성구 상동
0,0,0,0,2,0,0,0,1,0,2,0,0,2,0,1,0,0,0,하차,00028,7061028300,KT상동지사앞,2019-01-01,8,대구광역시 수성구 상동
4,5,13,9,24,16,16,28,41,15,33,23,16,24,6,5,8,4,1,승차,02155,7031015100,KT서대구지사건너,2019-01-01,291,대구광역시 서구 평리2동
0,0,1,1,2,4,5,1,3,4,2,3,2,1,3,3,1,2,1,하차,02155,7031015100,KT서대구지사건너,2019-01-01,39,대구광역시 서구 평리2동
5,13,13,13,10,9,10,13,13,11,10,13,15,15,4,8,6,6,1,승차,02154,7031010600,KT서대구지사앞,2019-01-01,188,대구광역시 서구 평리2동
0,4,0,2,4,2,6,9,8,8,9,12,8,10,5,8,5,4,0,하차,02154,7031010600,KT서대구지사앞,2019-01-01,104,대구광역시 서구 평리2동
2,8,4,4,0,5,6,2,6,4,5,3,3,5,2,0,2,1,1,승차,09164,7011015100,LG물류센터건너,2019-01-01,63,대구광역시 동구 안심2동
2,2,4,1,0,3,1,1,2,2,2,0,5,3,0,0,3,3,1,하차,09164,7011015100,LG물류센터건너,2019-01-01,35,대구광역시 동구 안심2동
0,7,4,5,7,1,9,8,11,5,5,11,4,5,7,1,0,0,0,승차,09009,7011015200,LG물류센터앞,2019-01-01,90,대구광역시 동구 안심2동
0,1,1,1,2,1,3,4,4,6,5,3,4,2,3,5,0,2,0,하차,09009,7011015200,LG물류센터앞,2019-01-01,47,대구광역시 동구 안심2동
0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,1,0,0,승차,03982,7011060000,LH10단지아파트건너,2019-01-01,7,대구광역시 동구 안심3.4동
0,3,3,1,1,1,5,2,4,4,4,3,6,2,1,0,4,2,0,하차,03982,7011060000,LH10단지아파트건너,2019-01-01,46,대구광역시 동구 안심3.4동
1,0,0,1,0,0,3,3,2,1,4,1,1,3,0,1,2,1,0,승차,03983,7011060100,LH10단지아파트앞,2019-01-01,24,대구광역시 동구 안심3.4동
