05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일번호,일자,정류소명,정류소번호,합계,행정구역
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7,0,0,승차,3901,2021-01-01,남도버스2,7041060200,10,대구광역시 달서구 진천동
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,하차,3901,2021-01-01,남도버스2,7041060200,4,대구광역시 달서구 진천동
0,0,0,1,0,4,1,6,2,3,3,4,1,5,3,0,5,2,0,승차,5212,2021-01-01,남명삼거리1,7051004000,40,대구광역시 남구 대명9동
1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,하차,5212,2021-01-01,남명삼거리1,7051004000,6,대구광역시 남구 대명9동
0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,승차,758,2021-01-01,남명삼거리2,7051004100,7,대구광역시 남구 대명9동
0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,하차,758,2021-01-01,남명삼거리2,7051004100,4,대구광역시 남구 대명9동
2,0,1,5,2,2,5,4,5,7,11,5,6,4,1,1,6,2,0,승차,2205,2021-01-01,남문시장건너2,7001001800,69,대구광역시 중구 남산1동
3,7,6,8,5,11,10,11,15,17,22,13,14,10,8,6,4,4,0,하차,2205,2021-01-01,남문시장건너2,7001001800,174,대구광역시 중구 남산1동
2,4,7,11,9,12,11,13,22,17,22,17,25,14,14,18,20,10,1,승차,2220,2021-01-01,남문시장앞,7001001900,249,대구광역시 중구 남산1동
0,2,1,5,4,4,3,7,3,8,9,12,7,6,6,11,8,7,3,하차,2220,2021-01-01,남문시장앞,7001001900,106,대구광역시 중구 남산1동
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,하차,1203,2021-01-01,남문아파트앞,7001003500,2,대구광역시 중구 남산1동
1,3,2,6,7,6,5,8,5,5,11,18,16,11,4,4,3,8,0,승차,444,2021-01-01,남부경찰서앞,7051013400,123,대구광역시 남구 대명5동
