rank,cctvUid,cctvNm,cctvCount,lat,lon
1660,CTV0000565,지산1동1258-5_남동쪽_100851,3412,35.825816,128.632097
1661,CTV0001955,신관뒤(지봉20),3411,35.825289,128.640523
1662,CTV0002212,매호동2-5_101542,3407,35.860802,128.715117
1663,CTV0001052,고모동684동쪽삼거리_북쪽_101402,3399,35.859456,128.661633
1664,CTV0000421,중동74-8_100663,3399,35.846177,128.615233
1665,CTV0000322,범어2동418-42_100382,3363,35.864279,128.637757
1666,CTV0002471,강당(노변13),3355,35.8377186,128.6974833
1667,CTV0000063,지산2동1256(화성어린이공원)_100481,3353,35.825306,128.629555
1668,CTV0000508,만촌3동859-30_서쪽_100771,3352,35.855101,128.652284
1669,CTV0000976,만촌3동882-20_101326,3347,35.84798,128.65085
1670,CTV0002611,본관북쪽산방향(파동14),3347,35.824284,128.60801
1671,CTV0002138,학교정문(신매02),3345,35.836088,128.708975
1672,CTV0000278,만촌1동668-13_100336,3334,35.867812,128.644156
1673,CTV0001013,파동24-17_101363,3326,35.820371,128.611668
1674,CTV0002365,중앙현관(대청06),3323,35.835638,128.703309
1675,CTV0000868,중동155-5_서쪽_101218,3310,35.84271,128.615786
1676,CTV0000947,범어1동899-34_동쪽_101297,3310,35.854063,128.627319
1677,CTV0002193,지산1동634-5(해오름빌라앞)_서쪽_101516,3303,35.826357,128.631738
1678,CTV0002630,운동장파고라(시지11),3295,35.84351,128.703264
1679,CTV0000473,지산2동1197-4_100715,3294,35.819976,128.630089
1680,CTV0002255,가천동843-48_700012,3291,35.856235,128.691179
1681,CTV0001863,본관보건실위(만촌11)_,3284,35.866863,128.647761
1682,CTV0001981,운동장(매호11),3283,35.841486,128.712799
1683,CTV0000597,범어4동64-91_100883,3279,35.856185,128.642826
1684,CTV0002263,파동581-1_400006,3276,35.822116,128.609471
1685,CTV0000303,연호동259-1_100363,3274,35.841429,128.67252
1686,CTV0002495,욱수당입구출입구(욱수16),3256,35.831124,128.707641
