cctvUid,cctvNm,lat,lon,cctvCount,boongi
CTV0002604,본관뒤편창고옆(동산04),35.84907,128.627928,1058,1
CTV0001899,북쪽현관(동산15),35.84907,128.627928,491,1
CTV0002602,운동장(동산02),35.84907,128.627928,70,1
CTV0002009,운동장전체(동산14),35.84907,128.627928,4,1
CTV0002656,주차장1(동산13),35.84907,128.627928,589,1
CTV0002674,놀이아지터_거울마당(경동),35.8521375,128.6395086,1433,1
CTV0002665,놀이아지터_등나무다리1(경동9),35.8521375,128.6395086,24,1
CTV0002669,놀이아지터_땅콩마을(경동14),35.8521375,128.6395086,2917,1
CTV0002675,연못앞파고라(경동),35.8521375,128.6395086,1354,1
CTV0002662,운동장놀이시설(경동),35.8521375,128.6395086,47,1
CTV0002711,후관_서편현관(경동12),35.8521375,128.6395086,26,1
CTV0001808,동문계단(동천08),35.865813,128.625014,74,1
CTV0001809,동문옆놀이터(동천07),35.865813,128.625014,9,1
CTV0002640,북문주차장(동천06),35.865813,128.625014,850,1
CTV0002028,자전거보관소(동천10),35.865813,128.625014,154,1
CTV0002635,지하주차장1(동천01),35.865813,128.625014,102,1
CTV0002636,지하주차장2(동천02),35.865813,128.625014,58,1
CTV0002638,지하주차장3(동천04),35.865813,128.625014,472,1
CTV0002620,급식소동편(동문03),35.8748569,128.6523723,8,1
CTV0002616,놀이터(동문06),35.8748569,128.6523723,91,1
CTV0002618,정문(동문01),35.8748569,128.6523723,12,1
CTV0002617,학교안전봉사단방향(동문07),35.8748569,128.6523723,22,1
CTV0002615,후문입구(동문05),35.8748569,128.6523723,63,1
CTV0002619,후문주차장_텃밭(동문02),35.8748569,128.6523723,111,1
CTV0001482,만촌1동산90(영남제일관내부1)_300042,35.875305,128.65824,415,1
CTV0001483,만촌1동산90(영남제일관내부2)_300043,35.875305,128.65824,281,1
CTV0001484,만촌1동산90(영남제일관내부3)_300044,35.875305,128.65824,1037,1
