cctvUid,cctvNm,lat,lon,cctvCount
CTV0000253,수성1가동649-17_100254,35.849934,128.609011,11397
CTV0000254,수성1가동671-42_100255,35.858265,128.611137,30600
CTV0000255,황금2동808-24_100256,35.844796,128.618324,3615
CTV0000256,범물1동262_100257,35.81490808,128.6503736,12261
CTV0000257,범물2동475-1_100258,35.816117,128.644335,13913
CTV0000258,수성2가동117_100259,35.85103,128.615438,8179
CTV0000259,만촌2동1022-6_동쪽_100260,35.86187,128.640905,3591
CTV0000260,범어4동88-38_100268,35.854185,128.64257,2240
CTV0000261,만촌1동1328-8_100269,35.872337,128.638618,12283
CTV0000262,만촌2동1009-15_100270,35.863274,128.642791,6430
CTV0000263,수성3가동232-6_100271,35.851969,128.618521,8766
CTV0000264,중동537-8_100272,35.84803,128.60959,9166
CTV0000265,두산동180-10_100273,35.830653,128.620502,16290
CTV0000266,두산동117-1_100274,35.837625,128.622426,26465
CTV0000267,범물1동1285_100275,35.818726,128.646352,49932
CTV0000268,시지동381-6_100276,35.841903,128.695533,61705
CTV0000269,고모동376_100277,35.857239,128.677158,1981
CTV0000270,만촌1동658-41_100328,35.869452,128.642349,1250
CTV0000271,만촌1동662-1_100329,35.868365,128.642392,2737
CTV0000272,만촌1동664-17_100330,35.867708,128.642804,3238
CTV0000273,만촌1동665-20_100331,35.868356,128.643217,2145
CTV0000274,만촌1동665-3_100332,35.866695,128.643432,2638
CTV0000275,만촌1동666-4_100333,35.868794,128.643347,6888
CTV0000276,만촌1동667-10_100334,35.867289,128.64347,3118
CTV0000277,만촌1동668-38_100335,35.867178,128.644002,1746
CTV0000278,만촌1동668-13_100336,35.867812,128.644156,3334
CTV0000279,만촌1동663-6_100337,35.86876,128.64274,3728
CTV0000280,만촌2동935-19_100338,35.864192,128.639392,9671
CTV0000281,만촌2동960-33_100339,35.863291,128.64015,1548
CTV0000282,만촌2동952-6_100340,35.864608,128.64088,4257
CTV0000283,만촌2동959-5_100341,35.864156,128.640794,8311
CTV0000284,만촌2동960-3_100342,35.863833,128.64157,2682
CTV0000285,만촌2동958-3_100343,35.865133,128.641696,2300
CTV0000286,만촌2동960-57_100344,35.863622,128.642641,7408
CTV0000287,만촌2동963-3_100345,35.865624,128.642295,3997
CTV0000288,만촌2동961-21_100346,35.865107,128.643006,7263
CTV0000289,만촌2동961-2_100347,35.864418,128.642695,2891
CTV0000290,범어2동416-5_100350,35.863803,128.63859,6697
CTV0000291,범어3동40-15_100351,35.860469,128.624757,25139
CTV0000292,범어3동1991_100352,35.867096,128.622082,10688
CTV0000293,만촌1동608-14_100353,35.875292,128.644342,4774
CTV0000294,만촌1동413-2_100354,35.869374,128.633002,26591
CTV0000295,만촌2동1016-87_100355,35.861554,128.641912,4217
CTV0000296,만촌3동1050-2_100356,35.857887,128.645788,27650
CTV0000297,만촌3동792_100357,35.853057,128.658176,20222
CTV0000298,수성1가동624-1_100358,35.854116,128.612085,18992
CTV0000299,수성3가동211-1_100359,35.852887,128.620093,6583
CTV0000300,황금2동761-7_100360,35.847071,128.621962,20065
CTV0000301,상동14-3_100361,35.839165,128.615725,16879
CTV0000302,지산1동396-2_100362,35.824474,128.638619,9085
CTV0000303,연호동259-1_100363,35.841429,128.67252,3274
CTV0000304,대흥동433-4_100364,35.830809,128.682984,2421
CTV0000305,고모동56_100365,35.867154,128.67019,2282
CTV0000306,지산1동489_100366,35.823564,128.638581,18780
CTV0000307,이천동326-2_100367,35.839499,128.658169,2257
CTV0000308,대흥동149_100368,35.832638,128.684622,3146
CTV0000309,가천동458-1_100369,35.852701,128.685475,3862
CTV0000310,매호동721-1_100370,35.846077,128.705699,23437
CTV0000311,시지동120-1_100371,35.844178,128.69652,14013
CTV0000312,황금2동796-13_100372,35.844132,128.622169,29747
CTV0000313,수성1가동287-1_100373,35.851892,128.611996,10910
CTV0000314,범어1동791-1_100374,35.858022,128.6245,26821
CTV0000315,중동100-3_100375,35.844281,128.613245,14570
CTV0000316,두산동147-1_100376,35.83264,128.619901,16269
CTV0000317,지산2동1230-17_100377,35.820298,128.628127,2587
CTV0000318,황금2동785-2_100378,35.844841,128.62336,20944
CTV0000319,범어4동63-27_100379,35.857966,128.64281,40630
CTV0000320,황금2동776-3_100380,35.845615,128.623451,23770
CTV0000321,범어2동417-22_100381,35.864072,128.637645,3173
CTV0000322,범어2동418-42_100382,35.864279,128.637757,3363
CTV0000323,범어2동417-6_100383,35.864192,128.636998,4750
CTV0000324,범어2동398-3_100384,35.863104,128.637034,7812
CTV0000325,범어2동398-14_100385,35.862523,128.636835,2282
CTV0000326,범어2동401-13_100386,35.862253,128.637517,3562
CTV0000327,범어2동402-14_100387,35.862849,128.637705,2545
CTV0000328,범어2동403-8_100388,35.862919,128.638081,2720
CTV0000329,범어2동407-22_100389,35.863541,128.639411,26133
CTV0000330,상동149-22_100390,35.836422,128.60723,6957
CTV0000331,상동147-1_100391,35.8355,128.607439,9797
CTV0000332,상동147-2_100392,35.83527,128.607648,10973
CTV0000333,상동152-57_100393,35.835893,128.608041,3019
CTV0000334,상동161-7_100394,35.836694,128.607911,10799
CTV0000335,상동151-4_100395,35.835594,128.607892,2486
CTV0000336,상동192-13_100396,35.834779,128.606972,22027
CTV0000337,사월동433-4(푸르지오뒷골목)_100445,35.837152,128.718484,6756
CTV0000338,상동385-9_100446,35.831513,128.612898,16666
CTV0000339,중동494_100452,35.8434111,128.6106068,18965
CTV0000340,만촌2동1016-60_100453,35.8625,128.642394,6133
CTV0000341,대흥동445-4_100454,35.829652,128.684304,7389
CTV0000342,범물2동1359-11_100455,35.816235,128.637904,1802
CTV0000343,지산2동1244_100456,35.824756,128.627123,23733
CTV0000344,중동400-8_100457,35.839301,128.611083,6227
CTV0000345,중동113-4_100458,35.84493,128.613666,11911
CTV0000346,황금2동725-1_100459,35.848685,128.619607,17155
CTV0000347,황금2동642-33_100460,35.847439,128.626386,19373
CTV0000348,수성4가동1190-42_100461,35.862106,128.612343,5096
CTV0000349,수성3가동100_100462,35.8512397,128.6205687,22451
CTV0000350,만촌3동886-8_100463,35.84798,128.649453,6728
CTV0000351,범어2동235-1_100464,35.861215,128.638724,11328
CTV0000352,만촌2동999-12_100526,35.861317,128.646137,8419
CTV0000353,만촌1동673-7_100527,35.87025,128.645812,3539
CTV0000354,범어4동121-6_100543,35.857104,128.636872,34541
CTV0000355,범물2동839-3_맞은편_100544,35.815474,128.647703,46981
CTV0000356,만촌1동383-1_100545,35.876378,128.647003,3917
CTV0000357,수성3가동200-7_100546,35.853509,128.618677,11599
CTV0000358,황금2동744-13_100547,35.847868,128.620345,37294
CTV0000359,중동39-4_100548,35.8483,128.613967,8399
CTV0000360,상동36-3_100549,35.838356,128.613719,10571
CTV0000361,파동387-1_100550,35.809788,128.621253,8269
CTV0000362,두산동46-5_100551,35.835999,128.620271,19882
CTV0000363,지산1동958-7_100552,35.838399,128.626134,23815
CTV0000364,범물2동853_100553,35.815012,128.645856,9784
CTV0000365,만촌2동1001-6_100554,35.862626,128.64544,5957
CTV0000366,황금2동706-35_100555,35.850201,128.621104,3848
CTV0000367,만촌3동863_100556,35.853119,128.651466,11799
CTV0000368,신매동608-8_100557,35.830221,128.704825,15141
CTV0000369,연호동96_100558,35.84474,128.669735,4396
CTV0000370,범어1동774-22_100607,35.852899,128.62415,174
CTV0000371,범어3동475-4_100608,35.864295,128.622593,1285
CTV0000372,만촌1동360_100609,35.874822,128.648258,8003
CTV0000373,수성1가동655-9_100610,35.849677,128.609531,16471
CTV0000374,수성2가동235-5_100611,35.856513,128.614564,6455
CTV0000375,황금1동94-1_100612,35.843777,128.63784,30048
CTV0000376,두산동193_100613,35.831919,128.621891,44452
CTV0000377,지산2동1184-2_100614,35.822525,128.625815,11651
CTV0000378,만촌2동1029-9_100615,35.860423,128.644859,20928
CTV0000379,만촌3동1047-45_100616,35.855938,128.647065,21224
CTV0000380,만촌3동875-27_100617,35.850026,128.649158,13758
CTV0000381,만촌3동882-20_100618,35.847971,128.650832,7982
CTV0000382,수성4가동1066-2_100624,35.862728,128.616431,5672
CTV0000383,만촌2동964-8_100625,35.861408,128.649125,4166
CTV0000384,연호동21-9_100626,35.847367,128.671543,2451
CTV0000385,범어1동385-48_100627,35.855467,128.6285,3705
CTV0000386,범어2동253-22_100628,35.861021,128.63647,9422
CTV0000387,범어3동21-2주변_100629,35.863802,128.625309,12948
CTV0000388,범어3동28-8_100630,35.863163,128.624724,27935
CTV0000389,범어4동271-18_100631,35.855391,128.636239,12698
CTV0000390,범어4동200-15주변_100632,35.857895,128.633911,23352
CTV0000391,만촌1동414-11_100633,35.867716,128.631641,5626
CTV0000392,만촌1동429-5_100634,35.870971,128.642013,7067
CTV0000393,만촌1동342-14_남쪽사거리_100635,35.874313,128.649655,9081
CTV0000394,만촌2동984-10_100636,35.865149,128.645237,3059
CTV0000395,만촌3동1025-53_100637,35.857149,128.64493,8883
CTV0000396,황금1동114-3_100638,35.84996,128.635936,12993
CTV0000397,황금1동135-3_100639,35.847116,128.636065,16798
CTV0000398,황금1동968-6_100640,35.842228,128.631549,18882
CTV0000399,황금2동752-1_100641,35.848072,128.617418,2552
CTV0000400,황금2동706-13주변_100642,35.849843,128.62144,9468
CTV0000401,황금2동699-5_100643,35.848512,128.622116,8570
CTV0000402,황금2동689-4_100644,35.846981,128.623575,14226
CTV0000403,황금2동595-1_100645,35.841111,128.625737,7518
CTV0000404,신매동585-7_100646,35.833681,128.708647,14075
CTV0000405,신매동592_100647,35.831938,128.708547,15346
CTV0000406,시지동109_100648,35.844191,128.697432,19987
CTV0000407,시지동240-10_100649,35.841886,128.693232,8609
CTV0000408,시지동494-1_100650,35.836738,128.696024,436
CTV0000409,매호동1343_100651,35.842395,128.702065,13675
CTV0000410,수성1가동541-4_100652,35.850078,128.611318,24213
CTV0000411,수성2가동145-1_100653,35.85613,128.615218,8291
CTV0000412,수성3가동92-7_100654,35.851912,128.620018,7684
CTV0000413,수성3가동363-1_100655,35.852513,128.618559,10009
CTV0000414,수성3가동386-2_100656,35.85086,128.618288,10934
CTV0000415,수성4가동1145-12_100657,35.866797,128.615123,7519
CTV0000416,만촌2동1008-41_100658,35.863293,128.645094,2150
CTV0000417,중동532-168_100659,35.846534,128.60915,7344
CTV0000418,중동9-10_100660,35.85037,128.614149,8984
CTV0000419,중동34-4_100661,35.849013,128.613645,2526
CTV0000420,중동41-6_100662,35.839762,128.610299,7093
CTV0000421,중동74-8_100663,35.846177,128.615233,3399
CTV0000422,중동544-18_100664,35.845231,128.610547,12634
CTV0000423,범어1동806-106_100665,35.852812,128.621299,10303
CTV0000424,중동40-15_100666,35.839301,128.611083,9922
CTV0000425,중동185-1_100667,35.841451,128.614221,8813
CTV0000426,중동124_100668,35.844811,128.615713,8044
