LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
대구광역시 북구 동북로 218 (복현동),132,일반음식점,뭉돌이흑돼지,2021-09-23
대구광역시 북구 동북로 280 (복현동),133,일반음식점,본죽(복현점),2022-04-28
"대구광역시 북구 동암로 128-10, 3층 (구암동)",134,일반음식점,녹야원대구칠곡점,2020-05-22
대구광역시 북구 동암로 128-12 (구암동),135,휴게음식점,맨날국수칠곡동천점,2023-04-11
"대구광역시 북구 동암로 191, 1층 (국우동)",136,일반음식점,시루향기콩나물국밥칠곡점,2022-07-04
"대구광역시 북구 동암로12길 23-4, 1층 (동천동)",137,일반음식점,앞산큰골집,2021-08-13
대구광역시 북구 동암로37길 1 (국우동),138,일반음식점,철인7호치킨,2022-07-04
"대구광역시 북구 동암로37길 3, 1층 (국우동)",139,일반음식점,미성고기마을,2022-07-28
"대구광역시 북구 동암로37길 8, 1층 (국우동)",140,일반음식점,청국장구수한가,2022-07-28
대구광역시 북구 동암로38길 29-45 (구암동),141,일반음식점,뚱보냉면,2021-06-18
대구광역시 북구 동암로38길 3-13 (구암동),142,일반음식점,토종닭백숙,2022-05-06
대구광역시 북구 동암로38길 3-15 (구암동),143,일반음식점,새벽닭이울때까지,2021-06-25
대구광역시 북구 동암로38길 3-17 (구암동),144,일반음식점,부지갱이,2020-05-22
대구광역시 북구 동암로38길 9-30 (구암동),145,일반음식점,완도전복마을,2021-03-16
"대구광역시 북구 동천로 125, 4층 (동천동)",146,일반음식점,쿠우쿠우,2020-08-18
"대구광역시 북구 동천로 125-10, 2층 (동천동)",147,일반음식점,북촌화로,2023-02-03
대구광역시 북구 동천로 125-7 (동천동),148,일반음식점,만재네 칠곡3지구점,2023-11-02
대구광역시 북구 동천로 128-8 (동천동),149,일반음식점,3지구 단지보쌈 칠곡본점,2023-01-10
"대구광역시 북구 동천로 135-13, 1층 (동천동)",150,일반음식점,고기굽는남자 칠곡3지구점,2023-11-02
"대구광역시 북구 동천로 136, 2층 201호 (동천동)",151,일반음식점,롤링파스타칠곡점,2021-08-18
"대구광역시 북구 동천로 138-8, 1층 (동천동)",152,일반음식점,혜옥당 칠곡3지구점,2022-09-27
대구광역시 북구 동천로 53-9 (동천동),153,일반음식점,엄마막창,2021-07-01
대구광역시 북구 동천로23길 18 (동천동),154,일반음식점,옛날뒷고기,2023-10-05
"대구광역시 북구 동천로23길 30-21, 1층 106호 (동천동)",155,일반음식점,죽이야기동천점,2020-12-21
"대구광역시 북구 동천로23길 30-23, 1층 105호 (동천동)",156,일반음식점,삼선미나주곰탕칠곡3지구점,2020-10-23
"대구광역시 북구 동천로23길 50, 1층 (동천동)",157,일반음식점,엄마는아구찜,2020-08-21
"대구광역시 북구 동천로23길 8, 남측 2층 (동천동)",158,일반음식점,삼백찬가,2020-08-25
"대구광역시 북구 동화천로 290, 1층 114호~121호 (연경동)",159,일반음식점,도휴,2023-08-02
대구광역시 북구 동화천로55길 12 (연경동),160,일반음식점,대구반야월막창,2020-06-22
"대구광역시 북구 동화천로55길 40, 1층 (연경동)",161,일반음식점,정가네한우곰탕,2023-10-12
"대구광역시 북구 매전로 12, 1층 102호 (매천동)",162,일반음식점,가마치통닭매천점,2023-10-30
"대구광역시 북구 매전로 12, 104호 (매천동)",163,일반음식점,닭사메무쵸매천점,2023-04-11
"대구광역시 북구 매전로 6, 1층 (매천동)",164,일반음식점,뉴욕버거(대구매천태전점),2023-10-30
대구광역시 북구 매전로 72-25 (태전동),165,일반음식점,김찬조족발,2023-11-01
"대구광역시 북구 매전로 72-3, 1층 (태전동)",166,일반음식점,스시209,2022-11-01
대구광역시 북구 매전로 8 (매천동),167,일반음식점,사계절돼지국밥,2023-10-30
대구광역시 북구 매전로 80 (태전동),168,일반음식점,한솥도시락매천휴먼시아점,2022-11-01
"대구광역시 북구 매전로4길 41, 1층 4호, 5호 (매천동)",169,일반음식점,봉양한우,2023-11-02
"대구광역시 북구 매전로4길 41, 1층 14, 15호 (매천동)",170,일반음식점,신선,2023-11-01
