date,food_name,trend
2024-02-03,매운탕,0
2024-02-04,매운탕,0
2024-02-05,매운탕,9
2024-02-06,매운탕,0
2024-02-07,매운탕,0
2024-02-08,매운탕,0
2024-02-09,매운탕,0
2024-02-10,매운탕,0
2024-02-11,매운탕,13
2024-02-12,매운탕,15
2024-02-13,매운탕,0
2024-02-14,매운탕,0
2024-02-15,매운탕,0
2024-02-16,매운탕,0
2024-02-17,매운탕,11
2024-02-18,매운탕,0
2024-02-19,매운탕,0
2024-02-20,매운탕,10
2024-02-21,매운탕,0
2024-02-22,매운탕,8
2024-02-23,매운탕,0
2024-02-24,매운탕,10
2024-02-25,매운탕,13
2024-02-26,매운탕,8
2024-02-27,매운탕,0
2024-02-28,매운탕,0
2024-02-29,매운탕,0
2024-03-01,매운탕,0
2024-03-02,매운탕,0
2024-03-03,매운탕,10
2024-03-04,매운탕,0
2024-03-05,매운탕,0
2024-03-06,매운탕,0
2024-03-07,매운탕,0
2024-03-08,매운탕,0
2024-03-09,매운탕,0
2024-03-10,매운탕,14
2024-03-11,매운탕,0
2024-03-12,매운탕,0
2024-03-13,매운탕,0
2024-03-14,매운탕,9
2024-03-15,매운탕,9
2024-03-16,매운탕,0
2024-03-17,매운탕,0
2024-03-18,매운탕,10
2024-03-19,매운탕,0
2024-03-20,매운탕,9
2024-03-21,매운탕,0
2024-03-22,매운탕,0
2024-03-23,매운탕,0
2024-03-24,매운탕,10
2024-03-25,매운탕,0
2024-03-26,매운탕,0
2024-03-27,매운탕,0
2024-03-28,매운탕,9
2024-03-29,매운탕,0
2024-03-30,매운탕,0
2024-03-31,매운탕,0
2024-04-01,매운탕,0
2024-04-02,매운탕,9
2024-04-03,매운탕,9
2024-04-04,매운탕,0
2024-04-05,매운탕,9
2024-04-06,매운탕,0
2024-04-07,매운탕,0
2024-04-08,매운탕,0
2024-04-09,매운탕,0
2024-04-10,매운탕,0
2024-04-11,매운탕,0
2024-04-12,매운탕,9
2024-04-13,매운탕,0
2024-04-14,매운탕,11
2024-04-15,매운탕,0
2024-04-16,매운탕,0
2024-04-17,매운탕,0
2024-04-18,매운탕,0
2024-04-19,매운탕,0
2024-04-20,매운탕,0
2024-04-21,매운탕,9
2024-04-22,매운탕,0
2024-04-23,매운탕,0
2024-04-24,매운탕,0
2024-04-25,매운탕,0
2024-04-26,매운탕,0
2024-04-27,매운탕,0
2024-04-28,매운탕,0
2024-04-29,매운탕,0
2024-04-30,매운탕,0
2024-01-01,해물탕,0
2024-01-02,해물탕,0
2024-01-03,해물탕,0
2024-01-04,해물탕,0
2024-01-05,해물탕,0
2024-01-06,해물탕,0
2024-01-07,해물탕,0
2024-01-08,해물탕,0
2024-01-09,해물탕,0
2024-01-10,해물탕,0
2024-01-11,해물탕,0
2024-01-12,해물탕,0
2024-01-13,해물탕,0
2024-01-14,해물탕,0
2024-01-15,해물탕,0
2024-01-16,해물탕,0
2024-01-17,해물탕,0
2024-01-18,해물탕,0
2024-01-19,해물탕,0
2024-01-20,해물탕,0
2024-01-21,해물탕,0
2024-01-22,해물탕,0
2024-01-23,해물탕,0
2024-01-24,해물탕,0
2024-01-25,해물탕,0
2024-01-26,해물탕,0
2024-01-27,해물탕,0
2024-01-28,해물탕,0
2024-01-29,해물탕,0
2024-01-30,해물탕,0
2024-01-31,해물탕,0
2024-02-01,해물탕,0
2024-02-02,해물탕,0
2024-02-03,해물탕,0
2024-02-04,해물탕,0
2024-02-05,해물탕,0
2024-02-06,해물탕,0
2024-02-07,해물탕,11
2024-02-08,해물탕,0
2024-02-09,해물탕,0
2024-02-10,해물탕,0
2024-02-11,해물탕,0
2024-02-12,해물탕,0
2024-02-13,해물탕,0
2024-02-14,해물탕,0
2024-02-15,해물탕,0
2024-02-16,해물탕,0
2024-02-17,해물탕,0
2024-02-18,해물탕,0
2024-02-19,해물탕,0
2024-02-20,해물탕,0
2024-02-21,해물탕,0
2024-02-22,해물탕,0
2024-02-23,해물탕,0
2024-02-24,해물탕,0
2024-02-25,해물탕,0
2024-02-26,해물탕,0
2024-02-27,해물탕,0
2024-02-28,해물탕,0
2024-02-29,해물탕,9
2024-03-01,해물탕,0
2024-03-02,해물탕,0
2024-03-03,해물탕,0
2024-03-04,해물탕,0
