food_name,period,ratio
채소죽,2024-07-01,0.30454
채소죽,2024-08-01,0.31255
채소죽,2024-09-01,0.18032
채소죽,2024-10-01,0.14826
채소죽,2024-11-01,0.24243
채소죽,2024-12-01,0.20837
현미죽,2024-01-01,2.69279
현미죽,2024-02-01,2.29608
현미죽,2024-03-01,2.45436
현미죽,2024-04-01,2.11977
현미죽,2024-05-01,2.18188
현미죽,2024-06-01,1.90739
현미죽,2024-07-01,2.03562
현미죽,2024-08-01,2.18388
현미죽,2024-09-01,1.80922
현미죽,2024-10-01,2.21394
현미죽,2024-11-01,1.95548
현미죽,2024-12-01,1.98954
감자국,2024-01-01,38.42038
감자국,2024-02-01,27.66925
감자국,2024-03-01,33.30929
감자국,2024-04-01,28.50674
감자국,2024-05-01,33.79215
감자국,2024-06-01,67.89685
감자국,2024-07-01,76.44006
감자국,2024-08-01,49.5522
감자국,2024-09-01,37.61094
감자국,2024-10-01,39.41015
감자국,2024-11-01,29.65278
감자국,2024-12-01,28.73715
게국지,2024-01-01,22.88673
게국지,2024-02-01,25.30905
게국지,2024-03-01,27.67125
게국지,2024-04-01,34.93418
게국지,2024-05-01,33.40345
게국지,2024-06-01,34.90012
게국지,2024-07-01,34.72981
게국지,2024-08-01,44.67952
게국지,2024-09-01,40.25565
게국지,2024-10-01,100.0
게국지,2024-11-01,37.00587
게국지,2024-12-01,29.13786
곰치국,2024-01-01,22.78778
곰치국,2024-02-01,16.88523
곰치국,2024-03-01,12.78308
곰치국,2024-04-01,11.44945
곰치국,2024-05-01,12.83001
곰치국,2024-06-01,17.6286
곰치국,2024-07-01,18.48805
곰치국,2024-08-01,21.30102
곰치국,2024-09-01,15.16633
곰치국,2024-10-01,17.20629
곰치국,2024-11-01,18.62636
곰치국,2024-12-01,27.71727
곰탕,2024-01-01,98.11069
곰탕,2024-02-01,89.79526
곰탕,2024-03-01,83.17156
곰탕,2024-04-01,70.38848
곰탕,2024-05-01,72.79889
곰탕,2024-06-01,75.69089
곰탕,2024-07-01,84.97443
곰탕,2024-08-01,84.19401
곰탕,2024-09-01,80.23511
곰탕,2024-10-01,90.64236
곰탕,2024-11-01,90.55839
곰탕,2024-12-01,100.0
김치국,2024-01-01,24.79316
김치국,2024-02-01,19.22402
김치국,2024-03-01,18.00647
김치국,2024-04-01,14.66498
김치국,2024-05-01,15.29722
김치국,2024-06-01,13.94383
김치국,2024-07-01,12.80778
김치국,2024-08-01,13.52646
김치국,2024-09-01,14.73907
김치국,2024-10-01,15.66767
김치국,2024-11-01,14.72179
김치국,2024-12-01,18.74984
낙지탕,2024-01-01,5.78647
낙지탕,2024-02-01,4.48494
낙지탕,2024-03-01,5.45306
낙지탕,2024-04-01,5.14682
낙지탕,2024-05-01,4.94183
낙지탕,2024-06-01,4.317
낙지탕,2024-07-01,5.09002
낙지탕,2024-08-01,4.82082
낙지탕,2024-09-01,3.83788
낙지탕,2024-10-01,4.91961
낙지탕,2024-11-01,4.39109
낙지탕,2024-12-01,5.14435
달걀국,2024-01-01,5.34192
달걀국,2024-02-01,3.80578
달걀국,2024-03-01,4.0972
달걀국,2024-04-01,3.40569
달걀국,2024-05-01,3.15378
달걀국,2024-06-01,2.89694
달걀국,2024-07-01,3.34889
달걀국,2024-08-01,4.84552
달걀국,2024-09-01,4.13672
달걀국,2024-10-01,5.38144
달걀국,2024-11-01,4.79859
달걀국,2024-12-01,3.69958
콩국수,2024-01-01,4.83587
콩국수,2024-02-01,3.95158
콩국수,2024-03-01,5.86844
콩국수,2024-04-01,21.52877
콩국수,2024-05-01,49.13889
콩국수,2024-06-01,100.0
콩국수,2024-07-01,90.38755
콩국수,2024-08-01,86.81083
콩국수,2024-09-01,22.63965
콩국수,2024-10-01,5.93535
콩국수,2024-11-01,3.53338
콩국수,2024-12-01,2.79735
팟타이,2024-01-01,21.47631
팟타이,2024-02-01,19.98144
팟타이,2024-03-01,21.44437
팟타이,2024-04-01,22.27012
팟타이,2024-05-01,21.98803
팟타이,2024-06-01,21.32804
팟타이,2024-07-01,21.29686
팟타이,2024-08-01,22.37201
팟타이,2024-09-01,19.6446
팟타이,2024-10-01,24.2174
팟타이,2024-11-01,18.31626
팟타이,2024-12-01,18.37024
게살죽,2024-01-01,20.07083
게살죽,2024-02-01,13.84978
게살죽,2024-03-01,16.22922
게살죽,2024-04-01,14.25846
게살죽,2024-05-01,14.21305
게살죽,2024-06-01,12.10607
게살죽,2024-07-01,12.86894
게살죽,2024-08-01,14.37653
게살죽,2024-09-01,15.1394
게살죽,2024-10-01,16.46535
게살죽,2024-11-01,16.15657
게살죽,2024-12-01,18.46335
깨죽,2024-01-01,12.79629
깨죽,2024-02-01,11.10707
깨죽,2024-03-01,10.42593
깨죽,2024-04-01,9.0909
깨죽,2024-05-01,10.06266
깨죽,2024-06-01,8.63681
깨죽,2024-07-01,7.7922
깨죽,2024-08-01,9.58132
깨죽,2024-09-01,9.60857
깨죽,2024-10-01,9.86286
깨죽,2024-11-01,12.05158
깨죽,2024-12-01,10.35328
미음,2024-01-01,100.0
미음,2024-02-01,86.2047
미음,2024-03-01,75.99673
미음,2024-04-01,69.6122
미음,2024-05-01,72.23685
미음,2024-06-01,73.67178
미음,2024-07-01,79.20261
미음,2024-08-01,87.69412
미음,2024-09-01,96.449
미음,2024-10-01,87.97566
미음,2024-11-01,76.58704
미음,2024-12-01,80.26518
백합죽,2024-01-01,58.08736
백합죽,2024-02-01,54.54545
백합죽,2024-03-01,74.38016
백합죽,2024-04-01,73.73081
백합죽,2024-05-01,95.10035
백합죽,2024-06-01,100.0
백합죽,2024-07-01,82.99881
백합죽,2024-08-01,95.51357
백합죽,2024-09-01,83.41204
백합죽,2024-10-01,87.7804
백합죽,2024-11-01,61.21605
백합죽,2024-12-01,53.60094
소고기버섯죽,2024-01-01,49.11452
소고기버섯죽,2024-02-01,37.01298
소고기버섯죽,2024-03-01,37.66233
소고기버섯죽,2024-04-01,37.66233
소고기버섯죽,2024-05-01,30.9327
소고기버섯죽,2024-06-01,29.69303
소고기버섯죽,2024-07-01,28.74852
소고기버섯죽,2024-08-01,31.70011
소고기버섯죽,2024-09-01,31.05076
소고기버섯죽,2024-10-01,39.02007
